"","pref","year","prov","mayor_term","invest","state_share","soe_share","local_share","local_soe_share","nonlocal_soe_share","nonlocal_nonsoe_share","local_nonsoe_share","invest_l","mayor_term1","mayor_age","gender_fem.y","ethnicity.y","edu_onjob.y","lgdp_pc","lpopul","lfiscal","distCity","industryOptionalName","projName","first_con_mayor","projRid","cooperationTerm","returnMode","local_size","soe_size","local_soe_size","local_nonsoe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","type"
"1","衡阳市",2017,"湖南省",1,1025330000,NA,NA,NA,NA,NA,NA,NA,20.7482803489411,1,49,0,0,21,10.5718296141771,6.68336094576627,14.5317383207843,430400,"停车场","衡阳市城区智慧停车管理系统和公共停车场建设PPP项目",0,"a9a70cbc12d44502a98d99d484fbf487",30,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"2","清远市",2016,"广东省",2,342175800,NA,NA,NA,NA,NA,NA,NA,19.6508351980438,2,56,0,0,18,10.416071629317,6.03670078450666,13.8959885555008,441800,"污水处理","连山壮族瑶族自治县PPP模式整县推进 村镇污水处理设施建设项目",0,"e315cd3639134f52af4930e1c87573e8",30,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"3","保定市",2017,"河北省",1,4.5e+07,NA,NA,NA,NA,NA,NA,NA,17.6221730477346,1,55,0,0,18,10.3086859584157,7.09589322109753,14.6913950422168,130600,"污水处理","河北省保定市蠡县留史镇污水处理厂提升配套管网及中水回用工程PPP项目",1,"ba824c2c8a584e8cb351ea9dfeb10f23",26,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"4","汕头市",2017,"广东省",2,558780000,NA,NA,NA,NA,NA,NA,NA,20.1412663937259,2,47,0,0,18,10.5291585679712,6.3261494731551,14.1310028173419,440500,"污水处理","汕头市西区污水处理厂及配套管网PPP项目",1,"a9cf2205cbc1486cae60eb4d023f9552",32,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"5","兰州市",2017,"甘肃省",1,2562220000,NA,NA,NA,NA,NA,NA,NA,21.664139907148,1,57,0,0,18,11.0220168410446,5.78074351579233,14.5832056853035,620100,"污水处理","兰州七里河安宁污水处理厂改扩建工程PPP项目",0,"de6d6c2e32a14bacab4c5c4163f6d6ca",15,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"6","湛江市",2017,"广东省",1,2205160000,NA,NA,NA,NA,NA,NA,NA,21.514065905571,1,53,0,0,18,10.4804379386936,6.72743172485086,13.9371749403286,440800,"综合治理","广东省湛江市廉江市生活污水处理设施整市捆绑PPP项目",1,"8b8ccc05f564481b9bae8c3b72fce666",30,"1",NA,NA,NA,NA,NA,NA,NA,NA,"City Management"
"7","榆林市",2017,"陕西省",1,83750100,NA,NA,NA,NA,NA,NA,NA,18.2433479226986,1,49,0,0,21,11.3115923279199,5.94542060860658,14.6600646576804,610800,"综合治理","神木市大保当镇污水综合利用PPP项目",0,"aeb491a5292a4b0bae112a9b1cdb0477",30,"3",NA,NA,NA,NA,NA,NA,NA,NA,"City Management"
"8","十二师",2015,"新疆生产建设兵团",NA,71080000,32.52,0,0,0,0,100,0,18.0793165612507,NA,NA,NA,NA,12,NA,NA,NA,661200,"污水处理","兵团十二师三坪新区排水工程项目",NA,"0a2738c445ce4a24bb5222d4f3ec9d17",16,"1",0,0,0,0,0,0,0,0,"Environment"
"9","常德市",2017,"湖南省",5,409259400,NA,NA,NA,NA,NA,NA,NA,19.8298597427972,5,51,0,0,12,10.8305797381041,6.4150969591716,14.2677326536273,430700,"污水处理","湖南省常德市污水净化中心扩容工程PPP项目",0,"a0a147e88ed64830a03442893c4fc7a5",20,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"10","毕节市",2017,"贵州省",1,1210555000,NA,NA,NA,NA,NA,NA,NA,20.9143447690806,1,55,0,0,12,10.108222704167,6.82110747225646,13.9344902107221,520500,"污水处理","贵州省毕节市七星关区农村污水治理PPP项目",0,"adfafd3f3b9240498d72511f1d98a2be",17,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"11","省直辖行政单位",2017,"海南省",NA,537635900,NA,NA,NA,NA,NA,NA,NA,20.1026921232175,NA,NA,NA,NA,12,NA,NA,NA,460900,"垃圾处理","陵水黎族自治县生活垃圾焚烧发电暨餐厨废弃物协同处理项目",NA,"042d652573834e40862cec6bd64f67f1",30,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"12","忻州市",2017,"山西省",6,150470000,NA,NA,NA,NA,NA,NA,NA,18.8292742867351,6,50,0,0,18,10.0321885475519,5.73009978297357,13.4479580963246,140900,"其他","山西省原平市忻州市污泥处置PPP项目",0,"22582bb4cf324487bdc0a67654c58acb",30,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Others"
"13","江门市",2017,"广东省",1,2.4e+08,NA,NA,NA,NA,NA,NA,NA,19.2961494813063,1,54,0,0,18,10.8850790149924,5.97635090929793,14.5293149025606,440700,"医院","江门市人民医院综合大楼PPP项目",1,"b530ce15c8104f56b1685ee4702c2f99",21,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Health"
"14","常州市",2016,"江苏省",4,6.71e+08,NA,NA,NA,NA,NA,NA,NA,20.324279694936,4,45,0,0,18,11.6282254203328,5.91579766818257,15.3551266840278,320400,"市政道路","新北区2015-2016年重点基础设施三期项目紫金山路（沪蓉高速—S338）工程",0,"e815ba8950f942aaa28d50ee4f90f4b8",10,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"15",NA,2017,"陕西省",NA,1.23e+10,NA,NA,NA,NA,NA,NA,NA,23.2328650993248,NA,NA,NA,NA,12,NA,NA,NA,NA,"高速公路","陕西省眉县至太白公路PPP项目",NA,"37f1b0f72fbf447a91ede8aa83cbedba",34,"2",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
"16","永州市",2017,"湖南省",2,50550000,NA,NA,NA,NA,NA,NA,NA,17.7384735034308,2,57,0,0,18,10.2661843287934,6.46925031679577,13.8406869559506,431100,"垃圾处理","新田县县域农村生活垃圾治理PPP项目",0,"6a084919a7664342bb2eae632f45d763",29,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Environment"
"17","大理白族自治州",2017,"云南省",1,16512370000,NA,NA,NA,NA,NA,NA,NA,23.5273756339402,1,54,0,1,18,NA,NA,NA,532900,"高速公路","云南省大理州鹤庆至剑川至兰坪高速公路PPP项目",0,"b6d0777a47ff4d228e7164f10e190a7a",34,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Public Transportation"
