"","distCity","year","invest","invest_n","invest_mean","cityname","cityps.x","name.x","officerID.x","gender_fem.x","birth_yr.x","ethnicity.x","home_city.x","home_prov.x","edu_first.x","college_yr.x","college_major.x","college_code.x","edu_onjob.x","edu_onjob_ps.x","firstjob_yr.x","party_yr.x","college_str_other.x","promotion.x","sec_age","ps_term","ps_begin_yr","cityps.y","name.y","officerID.y","gender_fem.y","birth_yr.y","ethnicity.y","home_city.y","home_prov.y","edu_first.y","college_yr.y","college_major.y","college_code.y","edu_onjob.y","edu_onjob_ps.y","firstjob_yr.y","party_yr.y","college_str_other.y","promotion_mayor","mayor_age","prov_id","mayor_term_id","mayor_term","mayor_begin_yr","mayor_end_yr","n_city","first_year","first_mayor","mayor_begin_age","mayor_term_rev","ting_term","ting_term_d","purge_mayor","mayor_count","vice_province","ps_term_2","sec_age_2","mayor_age_2","mayor_term_2","mayor_age_d","sec_age_d","mayor_2term","mayor_work_yr","mayor_party_yr","mayor_term1","mayor_firstyr","ps_term1","pop_eoy","pop_avg","gdp_pc","gdp","fiscal_rev_inbudget","lgdp_pc","lpop_eoy","lfiscal_rev","pref_code","invest_dummy","invest_l","provID","lpopul","lfiscal","prov_prov_ch","prov_name","prov_begin_yr","prov_end_yr","prov_ps_term","prov_home_prov","prov_college_code","prov_gov_begin_yr","local","purge_n","mayor_local","con_mayor","first_con_mayor","con_ps","purge_n_l1","purge_n_l2","fiscal_exp","employment","fiscal_rev","fixed_invest","lfiscal1","lexp","local_size","local_soe_size","local_nonsoe_size","soe_size","local_size_l","local_soe_size_l","local_nonsoe_size_l","soe_size_l","rev_exp_ratio","mayor_tenlength"
"1",130100,2010,0,0,0,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,51,1,2010,0,"艾文礼",3329,0,1955,0,130200,130000,1,NA,NA,NA,18,1,1971,1978,NA,0,55,"13",1,2,2009,2011,11,2006,0,54,2,5,1,0,1,0,1,2601,3025,4,0,0,0,39,32,2,0,1,977.41,986.36,30428,3001.28,125.961,10.3231185161172,6.88592880508933,4.84387995268367,130100,0,-13.8155105579643,"130000",6.88490621600942,4.83597233522957,"河北省","张云川",2008,2011,4,330000,10217,2008,NA,0,0,1,0,1,0,0,3051647,84.15,1636303,29579966,14.3079499868199,14.9311920028361,0,0,0,0,0,0,0,0,1.86496449618439,2
"2",130100,2011,0,0,0,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,52,2,2010,0,"艾文礼",3329,0,1955,0,130200,130000,1,NA,NA,NA,18,1,1971,1978,NA,1,56,"13",1,3,2009,2011,11,2006,0,54,1,6,1,0,1,0,4,2704,3136,9,0,0,0,40,33,3,0,2,989.16,983.29,33915,3401.0186,163.6303,10.4316126733802,6.89786654623177,5.10370235392639,130100,0,-13.8155105579643,"130000",6.89685609811314,5.09760961484376,"河北省","张云川",2008,2011,5,330000,10217,2008,NA,0,0,1,0,1,0,0,4035381,84.8,2212284,30269778,14.6095360239797,15.2106112790204,0,0,0,0,0,0,0,0,1.82407909653553,2
"3",130100,2012,0,0,0,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,53,3,2010,0,"姜德果",3329,0,1957,0,131100,130000,NA,NA,NA,NA,18,2,1976,1984,NA,1,55,"13",3,1,2012,2012,11,2004,0,55,1,9,1,0,1,0,9,2809,3025,1,0,0,0,36,28,1,1,3,997.3,993.2,39919,4082.6833,221.2284,10.5946076800114,6.90605383234238,5.40370568181945,130100,0,-13.8155105579643,"130000",6.90505162740782,5.39919565200356,"河北省","张庆黎",2012,2012,2,370000,NA,2012,NA,0,0,1,0,0,0,0,4640932,90.7,2722764,36733348,14.817158098785,15.3504257661013,0,0,0,0,0,0,0,0,1.70449293438579,1
"4",130100,2013,0,0,0,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,54,4,2010,0,"王亮",3329,0,1958,0,130800,130000,1,NA,NA,NA,18,1,1981,1985,NA,0,55,"13",8,1,2013,2015,11,2013,1,55,3,1,0,0,1,0,16,2916,3025,1,0,0,0,32,28,1,1,4,1005.3,1001.3,43552,4500.2098,272.2764,10.6817109054512,6.91403551693929,5.61048373721133,130100,0,-13.8155105579643,"130000",6.91304128341137,5.60681772680878,"河北省","周本顺",2013,2015,2,430000,NA,2013,NA,0,0,1,1,0,0,0,5229442,92.9,3151233,41862462,14.9633043627851,15.4698151381885,0,0,0,0,0,0,0,0,1.65949074536856,3
"5",130100,2014,0,0,0,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,55,5,2010,0,"王亮",3329,0,1958,0,130800,130000,1,NA,NA,NA,18,1,1981,1985,NA,0,56,"13",8,2,2013,2015,11,2013,1,55,2,2,0,0,1,0,25,3025,3136,4,0,0,0,33,29,2,0,5,1003.2,1004.2,48491,4863.6583,315.1233,10.7891334926956,6.9119464836006,5.75613232735606,130100,0,-13.8155105579643,"130000",6.91095016987866,5.75296399080888,"河北省","周本顺",2013,2015,3,430000,NA,2013,NA,1,0,1,1,0,0,0,5664878,100.5628,3434745,48839608,15.0494532450751,15.5497959164665,0,0,0,0,0,0,0,0,1.64928633712255,3
"6",130100,2015,67028800000,3,22342933333.3333,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,56,6,2010,0,"王亮",3329,0,1958,0,130800,130000,1,NA,NA,NA,18,1,1981,1985,NA,1,57,"13",8,3,2013,2015,11,2013,1,55,1,3,0,0,1,0,36,3136,3249,9,0,0,0,34,30,3,0,6,1024.9,1020.1,48970,5170.2653,343.4745,10.7989631446964,6.93332555509367,5.84202006739477,130100,1,20.3232180287362,"130000",6.93235032583752,5.83911287309893,"河北省","周本顺",2013,2015,4,430000,NA,2013,NA,0,0,1,1,0,1,0,6823857,100.3184,3750529,56898536,15.1374074546643,15.7359354124827,57396240000,57396240000,43616340740,19779899260,24.7732446329173,24.7732446329173,24.4986977047237,23.7079320701553,1.81943853787026,3
"7",130100,2016,2033932870000,5,406786574000,"石家庄市",1,"孙瑞彬",3329,0,1959,0,130300,130000,2,NA,NA,NA,18,1,1980,1985,NA,0,57,7,2010,0,"邢国辉",3329,0,1961,0,130100,130000,1,NA,NA,NA,18,2,1976,1984,NA,1,55,"13",6,1,2016,2016,11,2008,0,55,1,9,1,0,1,0,49,3249,3025,1,0,0,0,40,32,1,1,6,1028.84,1026.89,51043,54405988,3750529,10.8404236937208,6.93715872935138,15.1374077212933,130100,1,23.735822223089,"130000",6.93618723297637,15.1374074546643,"河北省","赵克志",2016,2017,2,370000,NA,2016,NA,0,0,1,0,0,0,1,7461188,99.5421,4107238,56784633,15.2282613411014,15.8252252088309,134672665000,134672665000,77471695000,57200970000,25.6261129673341,25.6261129673341,25.073178480801,24.7698366932478,1.81659499644286,1
"8",130100,2017,2822922650000,16,176432665625,"石家庄市",1,"邢国辉",2490,0,1961,0,130100,130000,1,NA,NA,NA,18,2,1976,1984,NA,0,56,1,2017,0,"邓沛然",2490,0,1963,0,130900,130000,3,1980,4,NA,21,1,1984,1984,NA,0,54,"13",9,1,2017,2017,11,2013,0,54,1,5,1,0,1,0,1,3136,2916,1,0,0,0,33,33,1,1,1,1038,1033,55177,59277293,4107238,10.9183014787688,6.94601399109923,15.228261584574,130100,1,24.0636236789073,"130000",6.94505106372583,15.2282613411014,"河北省","赵克志",2016,2017,3,370000,NA,2016,NA,0,0,1,0,1,0,0,8067284,91.6116,4608886,NA,15.3434967371811,15.9033274284562,45311356155,131520371582,38061461155,93458910427,24.5368235257889,25.6024275935468,24.362468088934,25.2607877159868,1.75037612125794,1
"9",130200,2010,0,0,0,"唐山市",1,"赵勇",4241,0,1963,0,430900,430000,2,NA,NA,NA,21,2,1982,1982,NA,0,47,4,2007,0,"陈国鹰",4241,0,1957,0,430400,430000,3,1978,3,10080,21,2,1982,1988,NA,0,53,"13",15,3,2008,2012,11,2001,0,51,3,10,1,0,1,0,16,2209,2809,9,0,0,0,28,22,3,0,4,733.9,745.02,51179,3812.72,169.716,10.8430845706405,6.59973443553483,5.14000135710088,130200,0,-13.8155105579643,"130000",6.59837277955102,5.13412645182636,"河北省","张云川",2008,2011,4,330000,10217,2008,NA,0,0,1,0,0,0,0,3324335,84.02,1958419,26657710,14.4876480730505,15.0167802120694,0,0,0,0,0,0,0,0,1.69745851117662,3
"10",130200,2011,0,0,0,"唐山市",1,"王雪峰",3011,0,1954,0,130400,130000,3,1974,1,10080,12,NA,1971,1973,NA,0,57,1,2011,0,"陈国鹰",3011,0,1957,0,430400,430000,3,1978,3,10080,21,2,1982,1988,NA,0,54,"13",15,4,2008,2012,11,2001,0,51,2,11,1,0,1,0,1,3249,2916,16,0,0,0,29,23,4,0,1,735,734.45,59389,4469.1588,195.8419,10.9918643030167,6.60123011872888,5.28240086846084,130200,0,-13.8155105579643,"130000",6.59987049921284,5.27730770107428,"河北省","张云川",2008,2011,5,330000,10217,2008,NA,0,0,1,0,1,0,0,4416812,87.3,2555624,25450636,14.7538069788073,15.3009287268474,0,0,0,0,0,0,0,0,1.72827145151243,3
